feature,importance
TroponinT_max,0.0023160220835133772
RespRate_last,0.0022578913794649535
Lactate_std,0.002233140917609497
SaO2_min,0.0022241942305483726
TroponinT_mean,0.0021981358663643296
ALT_mean,0.002182497330419254
ALT_max,0.0021144704519969223
AST_mean,0.0019656382848468284
Height_static,0.0019476326690861024
FiO2_last,0.0018803090849982551
SaO2_std,0.0018063869265307468
SaO2_slope,0.0017216917393596536
TroponinT_min,0.0016818921917689715
TroponinT_last,0.0016503137051992881
Bilirubin_slope,0.0016501265290659946
RespRate_min,0.001583094014607135
ALT_slope,0.0015597113085613385
TroponinT_slope,0.001548623496361897
TroponinT_std,0.001528630941637382
Bilirubin_std,0.0014755217758785524
SaO2_max,0.0013911420129515551
AST_slope,0.0013616032661981996
FiO2_min,0.0013062934081454645
SaO2_last,0.0012583214830121676
ALP_slope,0.001229805575823925
AST_std,0.001191549274403159
Albumin_slope,0.0011700401513728028
ALP_std,0.001149430719872545
FiO2_max,0.001079903899498632
ALT_std,0.001041913202254947
TroponinI_last,0.001022327466374804
TroponinI_min,0.0010209021732008816
TroponinI_std,0.0009251400829485211
Albumin_std,0.0008587329013929201
TroponinI_mean,0.0007587812626400521
Cholesterol_mean,0.000618908842378282
TroponinI_max,0.0005931829348918346
Cholesterol_min,0.0005699556093944292
Cholesterol_last,0.000539258345693407
Gender_static,0.0005201117292075229
Cholesterol_max,0.0004706648336068739
TroponinI_slope,0.0004313035230334541
Cholesterol_std,6.316946822337607e-06
Cholesterol_slope,1.3216190654665344e-19
MechVent_min,0.0
MechVent_max,0.0
MechVent_std,0.0
MechVent_mean,0.0
MechVent_last,0.0
MechVent_slope,0.0
